,userid,country,age,gender,start_date,ds,count
102656,8023584,UK,75,female,2018-10-19,2020-05-31,1
136457,6955156,NL,46,male,2018-03-10,2020-10-27,1
20116,8788482,PL,50,male,2018-03-24,2020-06-06,2
174428,4086778,US,18,male,2018-04-01,2020-01-28,3
21846,3716471,US,41,female,2018-02-07,2020-02-06,2
127552,2680107,US,59,male,2018-04-12,2020-02-12,5
68394,4648997,US,19,unknown,2018-10-09,2020-09-08,2
211107,6322434,US,68,male,2018-07-02,2020-02-27,1
173623,7492029,US,32,male,2018-06-03,2020-09-29,7
176796,3317138,UK,38,male,2018-01-27,2020-03-18,1
28147,5291691,DE,45,female,2018-10-11,2020-07-09,1
205438,3153163,NL,32,male,2018-12-18,2020-06-04,3
215476,7472720,US,42,female,2018-06-19,2020-10-29,2
19434,3607334,CZ,58,female,2018-06-06,2020-05-29,1
68253,8845780,DK,17,male,2018-10-18,2020-08-01,2
70069,7266055,DK,76,female,2018-08-29,2020-04-23,1
153988,2041587,FR,36,male,2018-03-24,2020-03-18,2
180832,8093914,US,19,male,2018-08-22,2020-05-26,16
99747,2434755,DE,20,male,2018-10-19,2020-06-16,1
199684,3033719,NL,38,female,2018-08-09,2020-08-11,4
223023,3771839,US,19,male,2018-04-16,2020-08-13,18
68586,4930497,FR,25,female,2018-03-24,2020-09-24,2
160818,6182087,US,23,female,2018-11-29,2020-09-17,6
198062,5181935,US,22,female,2018-05-18,2020-08-21,13
157312,6504384,NL,37,male,2018-07-06,2020-08-26,2
180618,6635643,US,22,male,2018-10-11,2020-09-13,13
113040,6669321,IT,34,male,2018-12-11,2020-07-02,1
196669,6555283,IT,50,male,2018-11-10,2020-07-31,1
136229,1482149,US,22,female,2018-07-31,2020-06-22,7
85206,7789316,US,21,female,2018-02-22,2020-03-17,7
25535,5845851,US,42,male,2018-03-20,2020-04-26,3
53997,7790883,FI,15,unknown,2018-07-31,2020-09-09,1
212240,5164159,PL,68,male,2018-03-20,2020-06-22,2
187346,2481700,UK,37,male,2018-04-23,2020-09-29,1
47955,4640373,US,18,female,2018-08-18,2020-04-12,6
1550,9266911,US,49,male,2018-03-16,2020-10-09,14
199409,4926599,PL,23,male,2018-02-04,2020-08-01,2
112405,5864386,PL,19,male,2018-09-18,2020-10-26,7
200452,9865147,DE,49,male,2018-05-08,2020-08-13,3
115345,3788653,PL,39,male,2018-05-02,2020-08-19,7
228366,5788260,US,50,female,2018-06-23,2020-04-10,2
119961,5696393,FR,22,unknown,2018-11-02,2020-11-01,1
163910,7382906,DE,47,male,2018-10-11,2020-04-25,2
57600,7678766,PL,68,male,2018-04-21,2020-03-18,1
198141,5647464,US,33,male,2018-12-02,2020-04-08,5
197233,7926115,US,41,male,2018-08-01,2020-10-28,13
25784,7654500,US,40,male,2018-12-03,2020-11-01,10
149564,1459086,PL,47,female,2018-11-25,2020-07-07,2
11099,3673155,US,13,male,2018-11-15,2020-10-10,18
111613,8620211,US,15,male,2018-10-20,2020-06-22,19
183985,8426374,US,28,male,2018-07-23,2020-08-26,4
144968,4567266,PL,22,male,2018-11-26,2020-11-01,4
24673,1938962,NL,19,male,2018-01-09,2020-09-17,4
60936,5304013,FR,22,female,2018-07-21,2020-01-25,5
21546,7509577,DK,73,male,2018-08-31,2020-05-14,1
124806,3699265,PL,64,male,2018-09-28,2020-05-15,3
46045,6337997,US,44,female,2018-04-08,2020-03-27,4
197011,9060274,US,20,female,2018-06-20,2020-05-02,1
160931,1642782,US,55,male,2018-04-10,2020-08-24,3
8103,7200582,NL,36,male,2018-05-03,2020-01-19,1
140642,3343359,FR,41,male,2018-11-11,2020-11-01,3
156076,4253505,US,42,male,2018-10-15,2020-01-07,8
158703,3303621,NL,66,male,2018-04-14,2020-03-17,2
149308,2975146,US,25,male,2018-12-11,2020-05-25,15
28942,1557242,UK,21,male,2018-07-26,2020-03-19,1
130915,6511454,US,21,male,2018-03-26,2020-04-19,7
54760,5318553,US,39,male,2018-04-15,2020-06-22,24
63967,2468540,US,78,unknown,2018-02-22,2020-10-18,2
92512,1461188,US,13,female,2018-12-16,2020-08-01,5
21115,5628826,US,28,male,2018-05-26,2020-03-23,4
170172,8178899,US,22,female,2018-11-11,2020-07-05,4
80425,8468258,NL,23,female,2018-03-17,2020-10-17,6
123709,8987711,US,56,male,2018-06-23,2020-03-05,2
208306,5888993,US,23,male,2018-11-18,2020-05-28,15
22568,1463702,UK,48,male,2018-04-22,2020-05-18,4
145286,7874893,FR,31,male,2018-04-19,2020-04-23,1
117167,1326244,PL,26,male,2018-09-13,2020-03-18,1
166861,3644874,US,50,male,2018-02-20,2020-08-31,13
64963,9558938,US,17,male,2018-02-01,2020-10-21,13
225990,3265796,US,36,male,2018-09-03,2020-10-03,8
30218,8534617,US,39,male,2018-01-11,2020-03-18,4
164437,3243844,UK,44,male,2018-09-06,2020-07-13,1
167716,7298437,FR,13,male,2018-03-02,2020-09-11,1
161647,5733945,US,20,female,2018-08-08,2020-10-26,5
117688,1967106,PL,36,male,2018-10-09,2020-09-04,2
92281,6850542,US,27,male,2018-03-05,2020-01-14,29
3338,5031607,US,78,unknown,2018-01-19,2020-04-09,1
164584,3043453,NL,28,unknown,2018-06-12,2020-08-02,2
184523,7605793,US,16,male,2018-08-23,2020-10-26,17
6839,9912635,FR,15,male,2018-07-04,2020-05-31,1
134711,2808456,US,30,male,2018-02-05,2020-07-05,4
19791,7556943,US,20,male,2018-03-25,2020-10-03,26
882,2646737,DK,53,male,2018-08-12,2020-01-02,1
59077,7396661,CZ,19,female,2018-10-19,2020-07-13,1
121410,4929473,US,44,female,2018-09-19,2020-10-31,4
69917,6901428,US,43,female,2018-09-23,2020-09-04,8
39279,4495344,US,20,female,2018-09-12,2020-08-21,14
80387,4207085,FR,61,male,2018-06-25,2020-02-09,1
66,4241907,UK,58,male,2018-07-02,2020-10-17,3
207335,3975370,US,79,female,2018-04-01,2020-10-04,1
65312,2084018,US,37,male,2018-01-15,2020-10-23,13
79241,6177948,UK,65,female,2018-08-06,2020-08-10,1
137000,8866554,DK,14,female,2018-10-23,2020-08-31,1
42502,2237955,CZ,37,male,2018-12-19,2020-06-22,1
203581,5307462,US,75,male,2018-02-28,2020-10-02,7
106296,3286497,UK,21,female,2018-07-29,2020-10-19,1
106177,5759128,US,33,male,2018-03-08,2020-07-02,13
180920,1238880,US,66,male,2018-04-26,2020-07-30,2
228043,7539915,PL,15,unknown,2018-05-10,2020-08-06,1
165693,9395769,US,46,male,2018-06-28,2020-01-25,33
112662,9151139,US,38,male,2018-10-31,2020-05-23,5
41717,6003450,US,21,female,2018-06-26,2020-10-28,8
181833,4524738,CZ,14,male,2018-05-19,2020-02-13,1
203254,7806741,DE,18,female,2018-07-09,2020-09-09,3
66048,3208759,PL,41,male,2018-12-14,2020-03-29,2
208477,8219369,NL,77,male,2018-11-21,2020-07-26,2
66417,4820763,PL,64,female,2018-08-06,2020-09-03,1
180685,8332043,US,38,male,2018-08-04,2020-10-15,13
29181,3170235,DE,29,female,2018-07-08,2020-08-29,3
152598,3927421,FR,19,male,2018-06-04,2020-03-08,1
188244,9883088,US,49,female,2018-03-24,2020-10-28,3
54967,2730206,US,79,female,2018-04-11,2020-09-17,2
7141,8540192,US,46,female,2018-11-07,2020-10-11,3
207282,9649272,US,59,male,2018-09-10,2020-09-29,9
57062,1288073,US,73,male,2018-02-21,2020-10-26,2
50312,7875534,CZ,72,unknown,2018-07-28,2020-04-21,1
64210,2171499,US,35,female,2018-10-24,2020-05-01,6
141972,3516576,DE,16,male,2018-10-14,2020-07-24,2
137789,6116297,US,44,female,2018-12-04,2020-08-02,8
131058,8669170,DE,22,female,2018-03-15,2020-06-26,1
103350,6314564,US,66,male,2018-08-05,2020-04-19,1
61108,7755801,US,17,male,2018-05-15,2020-01-25,24
96418,7744617,FR,45,male,2018-04-16,2020-05-14,1
88041,6894389,US,31,male,2018-05-03,2020-09-12,21
69247,8582504,NL,17,female,2018-09-14,2020-10-30,2
135134,6270786,US,27,male,2018-03-31,2020-10-31,7
27128,2834744,US,34,male,2018-04-20,2020-10-29,2
150982,8262124,FI,17,male,2018-08-13,2020-08-07,1
21685,2771952,US,14,female,2018-12-16,2020-10-28,6
24918,8950919,US,18,female,2018-04-26,2020-06-12,5
189004,2668199,PL,23,male,2018-06-25,2020-03-18,3
11090,2477128,FI,41,female,2018-05-26,2020-01-06,1
188822,5465189,UK,19,male,2018-02-22,2020-10-03,4
8434,9628233,NL,24,female,2018-06-13,2020-10-26,1
136283,2407140,FR,45,male,2018-09-16,2020-06-22,1
97944,2471704,DK,69,male,2018-03-13,2020-06-16,1
194578,8660733,US,40,male,2018-11-24,2020-06-19,14
182471,9823407,US,20,female,2018-04-20,2020-09-07,5
69547,9429686,FR,24,unknown,2018-05-21,2020-05-31,2
154840,8634916,US,23,male,2018-02-14,2020-07-17,11
184820,4460354,DE,18,male,2018-09-26,2020-10-26,3
47630,6674832,UK,40,male,2018-03-09,2020-07-07,3
222604,4833804,FR,28,male,2018-08-19,2020-04-09,3
169459,3478081,FI,38,male,2018-07-14,2020-01-25,2
12336,9148961,DK,49,female,2018-10-17,2020-04-09,2
117433,5686565,US,39,male,2018-06-24,2020-10-21,10
170755,3757447,PL,65,female,2018-02-03,2020-06-07,1
151252,7819897,US,15,female,2018-09-07,2020-09-07,8
114394,3745174,US,74,male,2018-12-18,2020-04-20,3
115644,3449286,PL,59,female,2018-10-22,2020-05-28,1
63890,1561452,NL,24,female,2018-07-07,2020-10-31,2
121444,4513747,US,24,male,2018-07-23,2020-03-18,19
71069,5988647,PL,37,male,2018-03-19,2020-07-09,2
18821,5135532,DE,45,male,2018-06-06,2020-06-26,1
142945,8678841,PL,38,unknown,2018-01-18,2020-10-29,1
116090,9019745,US,80,male,2018-12-14,2020-02-15,1
40642,3091727,FR,23,female,2018-03-26,2020-05-15,1
83092,1604427,US,15,male,2018-04-13,2020-04-25,9
169871,8354960,US,14,male,2018-02-14,2020-06-21,8
210005,3388886,CZ,29,male,2018-10-11,2020-08-01,4
233736,2159614,US,45,male,2018-09-26,2020-03-25,12
22088,5992951,NL,42,male,2018-05-03,2020-06-14,3
174622,3422432,US,68,female,2018-02-03,2020-06-19,1
143977,3778751,UK,49,male,2018-07-19,2020-07-13,1
29365,9577034,US,17,female,2018-12-21,2020-08-18,5
3774,4107625,UK,70,unknown,2018-02-04,2020-04-28,1
75133,1834385,US,16,female,2018-09-01,2020-10-02,19
145166,2524209,US,68,male,2018-03-21,2020-06-13,3
136641,1504408,US,21,female,2018-04-28,2020-04-02,8
140446,8197540,NL,13,male,2018-06-02,2020-10-25,1
89792,6191207,US,38,female,2018-01-02,2020-09-19,2
61416,7234553,PL,56,female,2018-05-30,2020-08-13,1
1023,8199384,US,34,male,2018-04-22,2020-04-14,12
51811,8486974,PL,27,male,2018-03-08,2020-04-12,1
202433,8879298,US,30,female,2018-06-04,2020-06-16,10
4471,6839232,PL,13,male,2018-11-22,2020-09-15,6
112672,4725852,US,65,female,2018-12-12,2020-05-27,2
91277,4978551,UK,68,male,2018-02-22,2020-06-07,4
166372,9686619,US,44,male,2018-10-25,2020-01-26,4
102628,1390707,US,24,female,2018-01-22,2020-10-23,6
5246,8699966,PL,22,female,2018-01-23,2020-07-09,2
122770,7655357,US,16,female,2018-05-31,2020-09-19,10
138809,9284194,PL,58,male,2018-12-13,2020-01-25,1
26399,3898690,PL,49,male,2018-01-17,2020-03-19,3
2042,2075989,US,25,male,2018-05-22,2020-10-04,12
17086,5314823,US,34,male,2018-03-19,2020-07-02,7
195063,6618720,NL,32,male,2018-09-23,2020-08-19,1
233435,4114553,US,39,male,2018-10-06,2020-06-27,6
119666,2144671,US,30,female,2018-02-07,2020-08-02,13
100560,1770197,US,45,female,2018-10-04,2020-06-22,11
92989,8320877,PL,41,female,2018-01-19,2020-05-25,1
80804,2156842,UK,17,female,2018-09-22,2020-08-19,2
9726,4339064,DE,49,male,2018-06-18,2020-04-25,1
132842,5307449,US,53,male,2018-06-12,2020-08-22,5
209347,6054638,US,44,male,2018-10-14,2020-04-28,14
135404,1338300,FR,49,female,2018-10-10,2020-09-14,2
200186,4763139,US,18,unknown,2018-06-27,2020-04-12,2
60558,3121556,DK,56,female,2018-03-12,2020-03-04,1
150488,8219585,US,47,male,2018-07-21,2020-09-29,9
188265,7143415,US,41,female,2018-06-09,2020-07-30,8
26595,5062658,PL,39,male,2018-05-27,2020-05-15,2
137680,3105686,US,37,female,2018-10-29,2020-07-30,9
143302,6596285,US,58,female,2018-08-17,2020-11-01,2
187241,3994688,US,45,female,2018-06-09,2020-06-26,2
211267,5847979,NL,15,male,2018-07-05,2020-10-22,4
69215,6023681,US,16,male,2018-01-01,2020-03-16,17
116334,7633326,US,47,female,2018-04-22,2020-01-14,6
12218,8360145,FR,37,male,2018-07-18,2020-07-17,4
57922,4871885,US,42,female,2018-05-10,2020-05-14,7
129402,7665927,US,35,male,2018-07-30,2020-01-02,1
151054,1957076,US,19,male,2018-10-12,2020-10-09,15
4328,9090451,PL,16,male,2018-08-04,2020-08-12,5
49033,1417335,PL,47,male,2018-10-07,2020-04-12,2
182999,5320137,US,34,female,2018-11-26,2020-04-26,1
137836,6986152,FI,13,male,2018-10-13,2020-02-13,1
144816,9337662,US,74,female,2018-09-16,2020-03-14,2
217920,5020465,FI,25,male,2018-08-16,2020-10-27,1
187162,6698007,NL,46,male,2018-04-19,2020-08-12,3
113880,4890531,US,25,male,2018-07-14,2020-05-22,7
114076,4134554,PL,49,male,2018-01-31,2020-03-04,5
126980,1471888,NL,13,male,2018-02-17,2020-01-22,1
70455,8012752,CZ,17,male,2018-01-07,2020-10-03,5
125379,9727975,US,17,female,2018-09-08,2020-09-01,2
37404,4566066,US,21,male,2018-12-11,2020-08-21,24
180002,5060999,US,23,female,2018-05-18,2020-08-03,6
177312,9084449,NL,46,male,2018-09-26,2020-02-20,1
65860,2687063,US,37,male,2018-03-17,2020-02-12,3
151783,5718352,NL,37,male,2018-11-30,2020-01-30,4
126403,2050157,DK,23,male,2018-12-19,2020-10-26,6
76942,3369469,US,25,male,2018-06-04,2020-10-10,12
210950,7199749,DK,50,male,2018-09-03,2020-03-05,2
113462,9578832,US,42,female,2018-03-30,2020-03-28,2
228548,6798918,US,13,male,2018-06-11,2020-01-25,18
209655,2091465,US,25,male,2018-10-04,2020-10-17,27
210478,3446015,US,46,male,2018-12-17,2020-05-01,12
203752,4862095,NL,16,male,2018-06-29,2020-09-17,9
14740,4969914,US,55,male,2018-06-23,2020-10-02,8
67870,6116214,US,36,female,2018-11-01,2020-03-25,2
46381,3680750,US,30,unknown,2018-02-18,2020-01-19,2
5404,7748215,FR,43,female,2018-10-20,2020-04-08,1
47325,7287615,US,47,male,2018-03-22,2020-08-19,34
160146,3708036,UK,25,unknown,2018-08-23,2020-03-27,1
232808,7541711,PL,16,male,2018-07-17,2020-10-19,2
4887,3837139,DE,33,male,2018-02-25,2020-04-09,2
120397,5502344,DE,31,male,2018-02-14,2020-09-15,2
231230,8407142,US,46,male,2018-10-29,2020-03-12,5
185485,3986176,FR,18,female,2018-04-15,2020-09-24,2
127274,4591193,US,49,male,2018-07-30,2020-04-21,14
146549,7765345,UK,20,female,2018-01-21,2020-10-02,2
206819,8409612,US,17,female,2018-10-02,2020-09-11,2
225994,8216141,CZ,19,male,2018-03-28,2020-05-29,2
153591,9674349,US,15,female,2018-07-13,2020-01-17,6
68153,4091262,US,13,female,2018-04-30,2020-10-10,6
202145,8005152,US,46,female,2018-07-16,2020-10-17,5
114443,3145338,US,41,male,2018-08-25,2020-10-27,11
81092,2402715,US,32,male,2018-09-03,2020-10-14,2
219961,9061076,US,65,male,2018-04-12,2020-02-21,5
62938,8543887,UK,20,unknown,2018-07-22,2020-06-22,1
185416,4982549,US,29,male,2018-04-22,2020-01-12,13
55238,9657987,FR,14,unknown,2018-03-24,2020-04-13,1
188073,5833092,NL,21,male,2018-01-11,2020-09-07,1
29772,9031077,PL,14,male,2018-01-12,2020-07-05,3
164665,4427824,US,48,male,2018-07-15,2020-06-19,9
119267,7783777,US,21,male,2018-10-08,2020-04-23,15
93589,3539914,DE,59,male,2018-11-05,2020-09-17,1
174447,2392154,US,44,male,2018-08-21,2020-08-11,9
216000,6997296,FR,26,male,2018-08-10,2020-07-31,1
76695,1526402,US,16,male,2018-11-22,2020-08-06,21
2819,7356482,US,30,male,2018-09-19,2020-10-09,17
19575,8970236,US,33,male,2018-11-16,2020-05-15,7
78968,9223359,NL,13,male,2018-07-27,2020-10-27,1
130091,6001026,US,39,female,2018-01-24,2020-10-23,5
64373,3974419,US,18,female,2018-07-07,2020-09-10,13
227201,9767874,US,14,male,2018-10-03,2020-08-19,33
16558,5554544,US,20,male,2018-10-02,2020-08-28,12
86865,1481110,US,16,female,2018-11-19,2020-09-07,13
44836,3479440,US,32,female,2018-12-10,2020-06-19,6
44413,7863112,PL,38,unknown,2018-11-13,2020-08-23,1
186806,9667564,US,31,male,2018-03-25,2020-04-17,10
203358,4599945,US,16,male,2018-10-08,2020-06-22,25
185611,9201121,US,18,male,2018-06-27,2020-10-22,16
41958,9584565,US,45,male,2018-01-17,2020-06-14,11
163353,6620978,DE,62,unknown,2018-11-01,2020-10-13,1
78834,5563679,PL,50,male,2018-08-16,2020-06-24,4
72480,6905560,US,72,male,2018-01-02,2020-03-05,3
164767,8542306,US,45,female,2018-06-15,2020-08-20,8
53087,8421097,US,14,male,2018-05-05,2020-10-23,19
100564,4674386,US,44,male,2018-06-09,2020-08-02,19
98278,3305717,FR,16,male,2018-03-03,2020-01-12,1
67038,8587470,DE,47,male,2018-06-07,2020-03-01,1
10467,2000686,US,21,female,2018-07-30,2020-07-23,5
156225,2640067,CZ,68,male,2018-02-05,2020-09-06,1
48609,5268156,US,24,male,2018-04-03,2020-01-06,21
46981,2594879,US,43,female,2018-03-15,2020-10-21,3
60104,4342145,DK,57,male,2018-09-02,2020-08-02,1
144623,7595221,US,66,female,2018-03-01,2020-10-02,5
98685,5690190,US,23,male,2018-09-26,2020-06-02,11
423,3518498,US,48,male,2018-04-27,2020-07-31,8
73534,9546053,PL,60,female,2018-10-02,2020-08-25,1
992,8096076,UK,70,male,2018-09-22,2020-06-26,1
216271,1622710,US,16,female,2018-09-21,2020-09-12,5
37689,2893729,US,46,male,2018-07-19,2020-04-12,11
45603,3965620,US,41,male,2018-07-09,2020-06-06,8
111438,5021381,PL,41,male,2018-07-30,2020-10-22,1
57308,7276862,PL,20,male,2018-09-02,2020-03-25,4
66037,1817178,US,21,male,2018-05-25,2020-09-09,15
102760,4733544,FR,32,unknown,2018-08-21,2020-06-30,2
86164,1960257,US,56,male,2018-06-05,2020-01-25,5
204039,6052952,US,77,male,2018-06-26,2020-02-20,2
128105,5673913,US,56,male,2018-10-22,2020-09-27,4
96464,2020710,ES,47,male,2018-04-18,2020-08-17,1
60820,7514055,PL,36,male,2018-10-15,2020-07-31,3
26234,2839227,DK,19,female,2018-01-24,2020-10-17,1
36112,9461114,CZ,39,male,2018-04-15,2020-05-02,1
108770,8881726,US,27,unknown,2018-11-05,2020-06-16,1
206969,2222061,US,14,male,2018-05-26,2020-02-13,16
187251,6508031,CZ,32,male,2018-01-06,2020-05-03,1
147116,5382161,US,15,male,2018-12-09,2020-08-24,7
147897,2926610,US,17,female,2018-03-05,2020-09-27,11
191254,7456701,US,50,unknown,2018-06-12,2020-04-11,1
39242,1757211,DE,18,male,2018-02-16,2020-09-22,4
2151,4955412,US,52,female,2018-02-15,2020-10-31,3
97165,8248818,US,45,male,2018-02-22,2020-05-12,9
43414,9626712,US,78,male,2018-11-07,2020-04-26,10
63024,9195099,US,19,male,2018-10-27,2020-10-04,8
128023,6938544,US,40,male,2018-03-29,2020-08-29,7
158591,9611614,US,15,female,2018-06-17,2020-02-23,3
189439,7281050,US,44,female,2018-03-16,2020-05-14,5
150888,9928554,US,59,male,2018-08-28,2020-05-06,3
191004,9265034,US,49,female,2018-09-25,2020-02-13,5
218480,1968324,DK,24,female,2018-11-29,2020-09-04,2
131638,9859822,US,23,male,2018-12-06,2020-10-29,7
120910,3179496,US,48,male,2018-04-17,2020-03-22,11
206801,1303058,US,50,male,2018-09-04,2020-03-16,18
213310,6665100,DE,69,female,2018-12-04,2020-04-17,1
34025,8550234,CZ,33,male,2018-07-08,2020-11-01,1
18651,4613609,US,41,male,2018-07-15,2020-03-01,24
82587,1458372,US,32,female,2018-06-27,2020-10-26,12
100150,3287658,DE,44,male,2018-08-05,2020-04-02,1
39097,5214879,US,17,male,2018-11-25,2020-05-27,15
127151,7753316,NL,50,male,2018-07-09,2020-06-30,2
34168,7434674,FR,13,male,2018-09-14,2020-07-04,1
187342,4665140,US,27,male,2018-10-16,2020-08-01,15
203144,6472793,NL,27,male,2018-11-13,2020-04-24,1
78256,4579750,US,35,male,2018-06-06,2020-06-19,8
76772,4423955,US,76,female,2018-10-04,2020-07-12,2
13313,4284414,IT,43,male,2018-05-02,2020-05-28,1
87650,8201553,DE,40,female,2018-11-26,2020-08-09,1
195579,2070478,FR,17,male,2018-05-26,2020-09-28,2
225774,2403610,US,71,male,2018-11-14,2020-08-11,10
152264,2187724,NL,42,male,2018-04-07,2020-08-05,2
187725,2627856,DE,53,male,2018-11-28,2020-09-13,1
90154,4821991,DK,45,male,2018-03-18,2020-04-20,2
115614,3130375,US,18,female,2018-02-27,2020-05-19,6
156756,5930596,US,32,male,2018-10-27,2020-06-06,2
227579,2324709,IT,24,female,2018-01-17,2020-08-08,1
195184,2511507,US,49,female,2018-12-08,2020-09-27,7
66861,8105831,US,73,female,2018-12-16,2020-01-28,2
63917,2806172,US,15,male,2018-09-29,2020-10-19,6
68180,4815602,NL,22,male,2018-09-28,2020-08-05,1
168435,5262922,US,44,unknown,2018-02-16,2020-04-06,1
199432,2266114,DK,24,female,2018-09-02,2020-01-06,3
230380,3549839,US,21,male,2018-12-05,2020-04-17,13
111431,6069551,US,57,male,2018-05-05,2020-06-28,3
154161,6552844,PL,64,male,2018-10-26,2020-09-29,1
229398,2080071,NL,40,female,2018-11-10,2020-03-22,1
4515,6170118,US,17,male,2018-09-16,2020-02-09,8
94825,4622825,PL,30,male,2018-06-18,2020-03-08,1
31193,9501575,CZ,38,male,2018-09-17,2020-08-01,2
111775,2132417,PL,42,male,2018-10-22,2020-09-08,3
15775,6243912,US,19,male,2018-02-17,2020-04-23,8
21075,9186091,US,24,male,2018-08-22,2020-10-31,24
175024,1650125,PL,49,female,2018-02-12,2020-05-28,2
8328,2599296,US,45,male,2018-11-24,2020-06-12,8
194050,4042421,UK,39,male,2018-07-21,2020-08-21,4
135021,3061411,NL,74,male,2018-12-08,2020-04-28,1
47757,9084984,US,13,male,2018-06-24,2020-09-25,12
1349,7699795,US,16,male,2018-05-10,2020-06-06,8
186893,1792698,US,27,female,2018-09-09,2020-09-17,6
30937,1426435,PL,37,male,2018-07-02,2020-01-12,3
45798,8765958,US,35,female,2018-02-22,2020-10-11,4
43218,8817679,PL,72,female,2018-03-27,2020-08-15,2
156680,9688123,NL,48,female,2018-04-26,2020-06-16,2
149917,9386396,US,42,male,2018-10-17,2020-05-15,10
191818,6134479,US,50,male,2018-02-26,2020-01-14,13
40414,2885466,PL,54,male,2018-08-19,2020-09-13,2
22153,7907706,US,74,unknown,2018-03-30,2020-08-11,1
167203,1339165,NL,37,male,2018-10-22,2020-08-29,4
110328,5391733,DK,20,male,2018-11-11,2020-01-16,1
74838,7845637,US,27,male,2018-12-05,2020-08-31,26
207473,2501426,FI,43,female,2018-09-21,2020-08-11,1
149911,7057279,PL,50,male,2018-04-22,2020-09-04,1
165606,5185068,CZ,26,female,2018-04-08,2020-09-08,1
116858,9876018,CZ,22,male,2018-03-13,2020-03-17,2
15229,7209053,US,21,unknown,2018-04-10,2020-08-11,3
61800,2961316,US,21,unknown,2018-11-12,2020-02-06,1
22594,2675281,DK,26,male,2018-07-31,2020-03-18,2
159850,5272982,FI,41,female,2018-08-28,2020-01-30,2
231288,9470802,UK,45,unknown,2018-03-30,2020-08-01,1
158829,9889210,PL,48,female,2018-10-23,2020-03-22,1
14418,6360211,CZ,36,male,2018-07-01,2020-04-12,1
